Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Cancer,Chrome 74.0.3729.169,To test e-Cancer functionalities,,2019-06-13 09:47:11,2019-06-13 09:47:37,25.500s,FAILED
,,,,,,,
Test Cases/00_Browser Navigation,Chrome 74.0.3729.169,To open the browser and naviage to the specific URL,,2019-06-13 09:47:12,2019-06-13 09:47:29,17.252s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 74.0.3729.169,,,2019-06-13 09:47:14,2019-06-13 09:47:14,0.094s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),Chrome 74.0.3729.169,,,2019-06-13 09:47:14,2019-06-13 09:47:14,0.017s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 74.0.3729.169,,,2019-06-13 09:47:14,2019-06-13 09:47:14,0.091s,PASSED
"System.setProperty(""webdriver.chrome.driver"", getChromeDriverPath())",Chrome 74.0.3729.169,,,2019-06-13 09:47:14,2019-06-13 09:47:14,0.063s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 74.0.3729.169,,,2019-06-13 09:47:14,2019-06-13 09:47:23,8.901s,PASSED
changeWebDriver(driver),Chrome 74.0.3729.169,,,2019-06-13 09:47:23,2019-06-13 09:47:23,0.286s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-06-13 09:47:23,2019-06-13 09:47:25,1.577s,PASSED
"navigateToUrl(""https://172.29.74.134:4442/cancer-care/en/takaful/qq1"")",Chrome 74.0.3729.169,,,2019-06-13 09:47:25,2019-06-13 09:47:29,4.665s,PASSED
,,,,,,,
Test Cases/99_Complete,Chrome 74.0.3729.169,,,2019-06-13 09:47:29,2019-06-13 09:47:34,4.682s,FAILED
"setText(findTestObject(""e-Cancer/DOB""), ""13/12/1981"")",Chrome 74.0.3729.169,,,2019-06-13 09:47:30,2019-06-13 09:47:32,1.845s,PASSED
"click(findTestObject(""e-Cancer/Form Instruction""))",Chrome 74.0.3729.169,,,2019-06-13 09:47:32,2019-06-13 09:47:33,0.812s,PASSED
"click(findTestObject(""e-Cancer/Gender - Male""))",Chrome 74.0.3729.169,,,2019-06-13 09:47:33,2019-06-13 09:47:34,0.999s,FAILED
