Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Cancer,Chrome 74.0.3729.169,To test e-Cancer functionalities,,2019-06-13 09:51:46,2019-06-13 09:52:17,31.046s,PASSED
,,,,,,,
Test Cases/00_Browser Navigation,Chrome 74.0.3729.169,To open the browser and naviage to the specific URL,,2019-06-13 09:51:46,2019-06-13 09:52:06,19.624s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 74.0.3729.169,,,2019-06-13 09:51:48,2019-06-13 09:51:48,0.093s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),Chrome 74.0.3729.169,,,2019-06-13 09:51:48,2019-06-13 09:51:48,0.019s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 74.0.3729.169,,,2019-06-13 09:51:48,2019-06-13 09:51:48,0.068s,PASSED
"System.setProperty(""webdriver.chrome.driver"", getChromeDriverPath())",Chrome 74.0.3729.169,,,2019-06-13 09:51:48,2019-06-13 09:51:48,0.059s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 74.0.3729.169,,,2019-06-13 09:51:48,2019-06-13 09:51:59,11.209s,PASSED
changeWebDriver(driver),Chrome 74.0.3729.169,,,2019-06-13 09:51:59,2019-06-13 09:52:00,0.255s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,,,2019-06-13 09:52:00,2019-06-13 09:52:01,1.248s,PASSED
"navigateToUrl(""https://172.29.74.134:4442/cancer-care/en/takaful/qq1"")",Chrome 74.0.3729.169,,,2019-06-13 09:52:01,2019-06-13 09:52:06,5.033s,PASSED
,,,,,,,
Test Cases/10_Underwriting Question - Question,Chrome 74.0.3729.169,,,2019-06-13 09:52:06,2019-06-13 09:52:14,7.610s,PASSED
"sendKeys(findTestObject(""e-Cancer/DOB""), ""01/01/1980"")",Chrome 74.0.3729.169,,,2019-06-13 09:52:07,2019-06-13 09:52:11,3.690s,PASSED
"click(findTestObject(""e-Cancer/Form Instruction""))",Chrome 74.0.3729.169,,,2019-06-13 09:52:11,2019-06-13 09:52:12,0.730s,PASSED
"if (Gender == ""Male"")",Chrome 74.0.3729.169,,,2019-06-13 09:52:12,2019-06-13 09:52:13,1.428s,PASSED
"click(findTestObject(""e-Cancer/Package Selection""))",Chrome 74.0.3729.169,,,2019-06-13 09:52:13,2019-06-13 09:52:14,0.610s,PASSED
