Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
e-Cancer,Chrome 72.0.3626.121,To test e-Cancer functionalities,,2019-05-24 10:40:52,2019-05-24 10:41:15,23.056s,FAILED
,,,,,,,
Test Cases/00_Browser Navigation,Chrome 72.0.3626.121,To open the browser and naviage to the specific URL,,2019-05-24 10:40:53,2019-05-24 10:41:07,13.941s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 72.0.3626.121,,,2019-05-24 10:40:53,2019-05-24 10:40:53,0.083s,PASSED
capabilities = new org.openqa.selenium.remote.DesiredCapabilities(),Chrome 72.0.3626.121,,,2019-05-24 10:40:53,2019-05-24 10:40:53,0.007s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 72.0.3626.121,,,2019-05-24 10:40:53,2019-05-24 10:40:53,0.051s,PASSED
"System.setProperty(""webdriver.chrome.driver"", getChromeDriverPath())",Chrome 72.0.3626.121,,,2019-05-24 10:40:53,2019-05-24 10:40:54,0.037s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 72.0.3626.121,,,2019-05-24 10:40:54,2019-05-24 10:41:03,9.510s,PASSED
changeWebDriver(driver),Chrome 72.0.3626.121,,,2019-05-24 10:41:03,2019-05-24 10:41:03,0.184s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,,2019-05-24 10:41:03,2019-05-24 10:41:04,0.563s,PASSED
"navigateToUrl(""https://172.29.74.134:4442/cancer-care/en/takaful/qq1"")",Chrome 72.0.3626.121,,,2019-05-24 10:41:04,2019-05-24 10:41:07,2.739s,PASSED
,,,,,,,
Test Cases/01_Language Toggle,Chrome 72.0.3626.121,To test language toggle for the page,,2019-05-24 10:41:07,2019-05-24 10:41:09,2.509s,PASSED
"selectOptionByLabel(findTestObject(""e-Cancer/Language Option""), ""B.Malaysia"", false)",Chrome 72.0.3626.121,,,2019-05-24 10:41:07,2019-05-24 10:41:08,1.052s,PASSED
"verifyElementText(findTestObject(""e-Cancer/Form Instruction""), ""Sila lengkapkan borang berikut"")",Chrome 72.0.3626.121,,,2019-05-24 10:41:08,2019-05-24 10:41:08,0.158s,PASSED
"selectOptionByLabel(findTestObject(""e-Cancer/Language Option""), ""English"", false)",Chrome 72.0.3626.121,,,2019-05-24 10:41:08,2019-05-24 10:41:09,0.854s,PASSED
"verifyElementText(findTestObject(""e-Cancer/Form Instruction""), ""Please complete the form below"")",Chrome 72.0.3626.121,,,2019-05-24 10:41:09,2019-05-24 10:41:09,0.121s,PASSED
,,,,,,,
Test Cases/02_DOB Selection,Chrome 72.0.3626.121,To select the date of birth from the date window,,2019-05-24 10:41:09,2019-05-24 10:41:11,2.181s,FAILED
"click(findTestObject(""e-Cancer/Next""))",Chrome 72.0.3626.121,,,2019-05-24 10:41:09,2019-05-24 10:41:10,0.280s,PASSED
"verifyElementText(findTestObject(""e-Cancer/DOB Feedback Message""), ""Please enter your Date of Birth"")",Chrome 72.0.3626.121,,,2019-05-24 10:41:10,2019-05-24 10:41:10,0.122s,PASSED
"setText(findTestObject(""e-Cancer/DOB""), ""12/23/1980"")",Chrome 72.0.3626.121,,,2019-05-24 10:41:10,2019-05-24 10:41:10,0.462s,PASSED
"verifyElementText(findTestObject(""e-Cancer/DOB Feedback Message""), ""Please enter a valid Date of Birth"")",Chrome 72.0.3626.121,,,2019-05-24 10:41:10,2019-05-24 10:41:11,0.974s,FAILED
,,,,,,,
Test Cases/03_Gender,Chrome 72.0.3626.121,"This is to test the message for mandatory data, and to select gender.",,2019-05-24 10:41:11,2019-05-24 10:41:14,2.473s,PASSED
"click(findTestObject(""e-Cancer/Next""))",Chrome 72.0.3626.121,,,2019-05-24 10:41:12,2019-05-24 10:41:12,0.109s,PASSED
"verifyElementText(findTestObject(""e-Cancer/Gender Feedback Message""), ""Please select your Gender"")",Chrome 72.0.3626.121,,,2019-05-24 10:41:12,2019-05-24 10:41:12,0.109s,PASSED
"click(findTestObject(""e-Cancer/Gender - Male""))",Chrome 72.0.3626.121,,,2019-05-24 10:41:12,2019-05-24 10:41:12,0.438s,PASSED
"verifyElementNotVisible(findTestObject(""e-Cancer/Gender Feedback Message""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,,2019-05-24 10:41:12,2019-05-24 10:41:12,0.101s,PASSED
"click(findTestObject(""e-Cancer/Gender - Female""))",Chrome 72.0.3626.121,,,2019-05-24 10:41:12,2019-05-24 10:41:14,1.392s,PASSED
